Country_name,pred_cost_mean,Type_of_cost_merged,sub_Country_name,sub_pred_cost_mean,event_Country_name,event_pred_cost_mean
Argentina,8975.180695,Damage,Argentina,7912.698178,Canada,8027.519385
Australia,26938.5992,Damage,Australia,16551.30407,United States,13.24957655
Austria,489.4757234,Damage,Belize,890.6391099,Cambodia,253.2126958
Belize,1044.679206,Damage,Benin,585.4508268,Malaysia,287.5668586
Benin,585.6217318,Damage,Bhutan,901.2439558,Thailand,349.4323197
Bhutan,901.2439558,Damage,Bolivia,1752.835968,Thailand,349.4323197
Bolivia,2061.751986,Damage,Brazil,3860.947782,Vietnam,321.6068135
Brazil,5805.199649,Damage,Brunei,743.0730289,Thailand,349.4323197
Brunei,743.0730289,Damage,Cambodia,4421.919026,Belize,154.0400958
Cambodia,4928.344417,Damage,Cameroon,2613.743872,Bolivia,308.9160182
Cameroon,2613.743872,Damage,Canada,51147.87598,Chile,370.1289124
Canada,52780.17353,Damage,Chile,2510.67028,Cuba,246.8365218
Chile,2880.821669,Damage,China,40525.00626,Ecuador,262.0937928
China,41707.46516,Damage,Cuba,1518.794962,Guatemala,262.3929934
Colombia,339.9352989,Damage,Democratic Republic of the Congo,2347.599611,Nicaragua,403.622818
Cuba,1789.633322,Damage,Ethiopia,3131.888644,Panama,217.734777
Democratic Republic of the Congo,2347.599611,Damage,Fiji,13.9492009,Paraguay,286.3946852
Denmark,15.40365212,Damage,Germany,679.7740851,Peru,324.8461361
Ecuador,262.0937928,Damage,Ghana,1036.460221,Uruguay,240.5721491
Ethiopia,3131.888644,Damage,Guatemala,1522.029936,United States,473.8805407
Fiji,51.58128932,Damage,India,24931.00014,Brazil,644.7836538
Finland,9.057326187,Damage,Indonesia,5672.065105,Brazil,644.7836538
France,546.4645709,Damage,Italy,32.09247263,Colombia,339.9352989
Germany,1389.346549,Damage,Japan,929.9186722,Mexico,619.4523868
Ghana,1053.171924,Damage,Kenya,827.7223094,Malaysia,287.5668586
Guatemala,1784.42293,Damage,Laos,1392.055802,Philippines,321.4238371
Iceland,10.58825881,Damage,Malawi,2552.280353,Thailand,349.4323197
India,26193.44792,Damage,Malaysia,5053.023817,United States,473.8805407
Indonesia,6142.589292,Damage,Mexico,3808.627447,Cambodia,253.2126958
Italy,101.179873,Damage,Mozambique,2845.434629,Indonesia,470.5241877
Japan,1190.591122,Damage,Myanmar,1834.06761,Peru,324.8461361
Kenya,827.8993943,Damage,Netherlands,66.67263001,Singapore,155.727763
Laos,1392.055802,Damage,New Zealand,1874.561689,United States,473.8805407
Lithuania,0.854484818,Damage,Nigeria,3099.368597,United States,473.8805407
Malawi,2552.280353,Damage,Norway,2484.876653,Thailand,349.4323197
Malaysia,5628.157534,Damage,Pakistan,65.89478854,Thailand,349.4323197
Malta,1.15579222,Damage,Paraguay,1630.15855,Bhutan,901.2439558
Mexico,4504.032901,Damage,Peru,3843.266577,Brunei,743.0730289
Mozambique,2845.434629,Damage,Philippines,7949.825832,Cambodia,1473.973009
Myanmar,1834.06761,Damage,Portugal,3.174774061,India,3267.461275
Netherlands,119.0272742,Damage,Singapore,2880.559311,India,3267.461275
New Zealand,4155.855269,Damage,Suriname,1060.19481,India,3267.461275
Nicaragua,403.622818,Damage,Sweden,134.9688865,India,3267.461275
Nigeria,3099.368597,Damage,Tanzania,2747.069347,Indonesia,2743.208874
Norway,2540.816339,Damage,Thailand,10112.77161,Indonesia,2743.208874
Pakistan,65.89478854,Damage,Timor-Leste,978.0580387,Laos,1392.055802
Panama,217.734777,Damage,Uganda,2114.444716,Malaysia,1684.341272
Paraguay,1916.553235,Damage,UK,466.891729,Malaysia,1684.341272
Peru,5219.747715,Damage,Uruguay,1374.890764,Myanmar,1834.06761
Philippines,8459.646597,Damage,USA,103226.7018,Philippines,1880.897816
Portugal,3.174774061,Damage,Vietnam,5744.171939,Philippines,1880.897816
Singapore,3036.287074,Damage,Zambia,1771.007699,Singapore,960.186437
Spain,147.1410906,Damage,Zimbabwe,1432.748853,Singapore,960.186437
Suriname,1060.19481,Management,Argentina,1062.482517,Singapore,960.186437
Sweden,145.5752657,Management,Australia,2547.522978,Thailand,2022.554323
Tanzania,2749.339463,Management,Austria,489.4757234,Thailand,2022.554323
Thailand,12209.36553,Management,Belize,154.0400958,Thailand,2022.554323
Timor-Leste,978.0580387,Management,Benin,0.17090502,Thailand,2022.554323
Togo,0.155116466,Management,Bolivia,308.9160182,Timor-Leste,978.0580387
Uganda,2114.444716,Management,Brazil,1944.251867,Vietnam,1872.907978
UK,698.3344178,Management,Cambodia,506.4253916,Vietnam,1872.907978
Uruguay,1615.462913,Management,Canada,1632.297553,Belize,890.6391099
USA,272333.5427,Management,Chile,370.151389,Bolivia,1752.835968
Venezuela,0.024215191,Management,China,802.7240059,Canada,693.5245426
Vietnam,6065.778753,Management,Colombia,339.9352989,Chile,2150.214455
Zambia,1800.45945,Management,Cuba,270.8383601,Guatemala,1522.029936
Zimbabwe,1432.748853,Management,Denmark,15.40365212,Paraguay,1630.15855
,,Management,Ecuador,262.0937928,Peru,1861.025856
,,Management,Fiji,13.18795183,Peru,1861.025856
,,Management,Finland,9.057326187,United States,2718.841013
,,Management,France,546.4645709,United States,2718.841013
,,Management,Germany,709.572464,Suriname,1060.19481
,,Management,Ghana,16.71170287,Uruguay,1374.890764
,,Management,Guatemala,262.3929934,India,3267.461275
,,Management,Iceland,10.58825881,United States,2718.841013
