Country_name,pred_cost_mean,Type_of_cost_merged,sub_Country_name,sub_pred_cost_mean,event_Country_name,event_pred_cost_mean
Argentina,8980.622423,Damage,Argentina,7912.445061,Canada,8170.213487
Australia,27046.3445,Damage,Australia,16484.98498,United States,13.96363562
Austria,512.3954653,Damage,Belize,890.5186548,Cambodia,255.3301566
Belize,1044.470778,Damage,Benin,763.3701955,Malaysia,290.1718513
Benin,763.5439535,Damage,Bhutan,910.2710639,Thailand,351.1123326
Bhutan,910.2710639,Damage,Bolivia,1753.927184,Thailand,351.1123326
Bolivia,2063.087613,Damage,Brazil,3922.615268,Vietnam,324.2331858
Brazil,5896.948855,Damage,Brunei,770.3351276,Thailand,351.1123326
Brunei,770.3351276,Damage,Cambodia,4465.746894,Belize,153.9521228
Cambodia,4976.407208,Damage,Cameroon,2187.485084,Bolivia,309.1604294
Cameroon,2187.485084,Damage,Canada,52202.11529,Chile,377.3876109
Canada,53930.99222,Damage,Chile,2591.207837,Cuba,249.8709547
Chile,2968.611769,Damage,China,42491.41302,Ecuador,262.8107271
China,43714.2871,Damage,Cuba,1539.20966,Guatemala,263.3590939
Colombia,341.4632758,Damage,Democratic Republic of the Congo,2424.449632,Nicaragua,405.3425516
Cuba,1813.448903,Damage,Ethiopia,3118.680139,Panama,216.1337366
Democratic Republic of the Congo,2424.449632,Damage,Fiji,14.10239855,Paraguay,288.2507798
Denmark,15.4468655,Damage,Germany,682.7123582,Peru,328.6451204
Ecuador,262.8107271,Damage,Ghana,1065.330077,Uruguay,246.8064892
Ethiopia,3118.680139,Damage,Guatemala,1528.213209,United States,483.7825432
Fiji,52.1477818,Damage,India,25192.29332,Brazil,654.9501061
Finland,9.104268865,Damage,Indonesia,5817.606039,Brazil,654.9501061
France,579.0565229,Damage,Italy,32.27678062,Colombia,341.4632758
Germany,1430.276603,Damage,Japan,942.3596199,Mexico,625.4040838
Ghana,1082.492169,Damage,Kenya,833.9317046,Malaysia,290.1718513
Guatemala,1791.572303,Damage,Laos,1399.077514,Philippines,323.4381786
Iceland,10.67183109,Damage,Malawi,2587.570323,Thailand,351.1123326
India,26447.60134,Damage,Malaysia,5097.723993,United States,483.7825432
Indonesia,6299.982337,Damage,Mexico,3848.059162,Cambodia,255.3301566
Italy,102.5926392,Damage,Mozambique,2689.431461,Indonesia,482.3762984
Japan,1212.155631,Damage,Myanmar,1874.465858,Peru,328.6451204
Kenya,834.1213794,Damage,Netherlands,66.47191913,Singapore,155.4522817
Laos,1399.077514,Damage,New Zealand,1868.935431,United States,483.7825432
Lithuania,0.85792275,Damage,Nigeria,2538.888304,United States,483.7825432
Malawi,2587.570323,Damage,Norway,2567.808754,Thailand,351.1123326
Malaysia,5678.067696,Damage,Pakistan,66.66987909,Thailand,351.1123326
Malta,1.16386651,Damage,Paraguay,1641.476154,Bhutan,910.2710639
Mexico,4550.898967,Damage,Peru,3889.297608,Brunei,770.3351276
Mozambique,2689.431461,Damage,Philippines,8006.735914,Cambodia,1488.582298
Myanmar,1874.465858,Damage,Portugal,3.020396291,India,3308.303848
Netherlands,119.3723071,Damage,Singapore,2874.364824,India,3308.303848
New Zealand,4125.221483,Damage,Suriname,1058.65145,India,3308.303848
Nicaragua,405.3425516,Damage,Sweden,136.4703719,India,3308.303848
Nigeria,2538.888304,Damage,Tanzania,3331.274803,Indonesia,2813.748872
Norway,2623.552307,Damage,Thailand,10170.03752,Indonesia,2813.748872
Pakistan,66.66987909,Damage,Timor-Leste,993.441591,Laos,1399.077514
Panama,216.1337366,Damage,Uganda,2782.980208,Malaysia,1699.241331
Paraguay,1929.726934,Damage,UK,470.3719391,Malaysia,1699.241331
Peru,5258.970673,Damage,Uruguay,1411.011338,Myanmar,1874.465858
Philippines,8519.882714,Damage,USA,99755.73522,Philippines,1894.773507
Portugal,3.020396291,Damage,Vietnam,5803.732659,Philippines,1894.773507
Singapore,3029.817105,Damage,Zambia,1742.902612,Singapore,958.1216078
Spain,149.802067,Damage,Zimbabwe,1399.781642,Singapore,958.1216078
Suriname,1058.65145,Management,Argentina,1068.177362,Singapore,958.1216078
Sweden,147.3291762,Management,Australia,2486.377637,Thailand,2034.007503
Tanzania,3333.135983,Management,Austria,512.3954653,Thailand,2034.007503
Thailand,12276.71151,Management,Belize,153.9521228,Thailand,2034.007503
Timor-Leste,993.441591,Management,Benin,0.173758002,Thailand,2034.007503
Togo,0.157044407,Management,Bolivia,309.1604294,Timor-Leste,993.441591
Uganda,2782.980208,Management,Brazil,1974.333587,Vietnam,1892.352084
UK,704.0588764,Management,Cambodia,510.6603132,Vietnam,1892.352084
Uruguay,1657.817827,Management,Canada,1728.876927,Belize,890.5186548
USA,269849.9791,Management,Chile,377.4039319,Bolivia,1753.927184
Venezuela,0.023067087,Management,China,821.196449,Canada,702.8715239
Vietnam,6127.965845,Management,Colombia,341.4632758,Chile,2195.164889
Zambia,1771.901784,Management,Cuba,274.2392425,Guatemala,1528.213209
Zimbabwe,1399.781642,Management,Denmark,15.4468655,Paraguay,1641.476154
,,Management,Ecuador,262.8107271,Peru,1883.366924
,,Management,Fiji,13.33278866,Peru,1883.366924
,,Management,Finland,9.104268865,United States,2774.674847
,,Management,France,579.0565229,United States,2774.674847
,,Management,Germany,747.5642449,Suriname,1058.65145
,,Management,Ghana,17.16209173,Uruguay,1411.011338
,,Management,Guatemala,263.3590939,India,3308.303848
,,Management,Iceland,10.67183109,United States,2774.674847
,,Management,India,1255.308019,Malaysia,1699.241331
,,Management,Indonesia,482.3762984,Mexico,3577.613871
,,Management,Italy,70.31585861,Brazil,3729.18239
,,Management,Japan,269.7960115,China,2512.181819
,,Management,Kenya,0.189674751,Thailand,2034.007503
,,Management,Lithuania,0.85792275,Cambodia,1488.582298
,,Management,Malaysia,580.3437026,Cambodia,1488.582298
,,Management,Malta,1.16386651,Vietnam,1892.352084
,,Management,Mexico,702.839805,United States,2774.674847
,,Management,Netherlands,52.90038799,Cuba,1448.370338
,,Management,New Zealand,2256.286052,Australia,8.938685447
,,Management,Nicaragua,405.3425516,Argentina,61.67094292
,,Management,Norway,55.74355269,Argentina,61.67094292
,,Management,Panama,216.1337366,Argentina,61.67094292
,,Management,Paraguay,288.2507798,Argentina,61.67094292
,,Management,Peru,1369.673065,Argentina,61.67094292
