Country_name,pred_cost_mean
Argentina,8948.742601
Australia,28907.74293
Austria,508.8668055
Belize,1071.748633
Benin,708.1437675
Bhutan,953.4481781
Bolivia,2130.826214
Brazil,6244.588268
Brunei,772.2744255
Cambodia,5238.26706
Cameroon,1950.621356
Canada,53902.10245
Chile,2892.575049
China,42704.25667
Colombia,345.9755891
Cuba,1795.427139
Democratic Republic of the Congo,2665.686234
Denmark,16.1688747
Ecuador,265.8275996
Ethiopia,3259.147433
Fiji,50.98383645
Finland,9.532873706
France,617.1444977
Germany,1526.62333
Ghana,943.76387
Guatemala,1845.61665
Iceland,10.719441
India,27055.20888
Indonesia,6671.956403
Italy,109.1135439
Japan,1247.89216
Kenya,849.8593154
Laos,1487.714538
Lithuania,0.922735291
Malawi,2651.966125
Malaysia,6096.432524
Malta,1.20981112
Mexico,4884.214208
Mozambique,3045.239656
Myanmar,2000.194496
Netherlands,120.7194559
New Zealand,5142.932029
Nicaragua,408.2916024
Nigeria,2689.598135
Norway,2291.670644
Pakistan,66.22435309
Panama,217.9837432
Paraguay,1996.369218
Peru,5391.742348
Philippines,8531.752742
Portugal,3.124291009
Singapore,3052.676451
Spain,158.9274912
Suriname,1098.734287
Sweden,152.517853
Tanzania,2959.150959
Thailand,12449.84309
Timor-Leste,954.1664661
Togo,0.184308309
Uganda,2169.523177
United Kingdom,718.1772339
United States,271247.1524
Uruguay,1701.482431
Venezuela,0.020253192
Vietnam,6557.719456
Zambia,1870.664619
Zimbabwe,1488.036025
