Country_name,pred_cost_mean
Argentina,9267.135099
Australia,27481.26455
Austria,501.6992765
Belize,1073.370383
Benin,708.1366372
Bhutan,912.7564796
Bolivia,2134.053969
Brazil,5951.536235
Brunei,760.839061
Cambodia,5032.544515
Cameroon,1950.621356
Canada,54169.33275
Chile,2891.407751
China,42074.97714
Colombia,346.487527
Cuba,1788.337166
Democratic Republic of the Congo,2665.686234
Denmark,16.24224049
Ecuador,266.2221061
Ethiopia,3260.073964
Fiji,49.27817594
Finland,9.197653067
France,608.1850246
Germany,1460.987443
Ghana,942.8638952
Guatemala,1848.419143
Iceland,10.84039954
India,26558.16969
Indonesia,6343.110795
Italy,108.7161939
Japan,1209.830319
Kenya,862.2929682
Laos,1416.648586
Lithuania,0.898166777
Malawi,2647.106234
Malaysia,5795.706174
Malta,1.192298455
Mexico,4652.01543
Mozambique,3045.239656
Myanmar,1904.743727
Netherlands,117.6072913
New Zealand,5053.942792
Nicaragua,408.8954483
Nigeria,2689.598135
Norway,2300.428873
Pakistan,66.56477896
Panama,218.3047743
Paraguay,1999.393163
Peru,5341.783231
Philippines,8499.037305
Portugal,3.126944877
Singapore,3019.863515
Spain,155.1323246
Suriname,1100.406917
Sweden,151.0711153
Tanzania,2936.416224
Thailand,12198.41794
Timor-Leste,946.7461722
Togo,0.178878669
Uganda,2169.523177
United Kingdom,718.863727
United States,279720.3706
Uruguay,1704.065389
Venezuela,0.022995052
Vietnam,6047.889423
Zambia,1868.714179
Zimbabwe,1488.036025
