Country_name,pred_cost_mean
Argentina,8439.19863
Australia,27087.2173
Austria,506.1072043
Belize,1071.158045
Benin,763.5543568
Bhutan,946.4261125
Bolivia,2113.860832
Brazil,6308.209234
Brunei,766.8839927
Cambodia,5268.047785
Cameroon,2187.485084
Canada,53624.12822
Chile,3037.305218
China,43766.69758
Colombia,341.831817
Cuba,1782.601912
Democratic Republic of the Congo,2424.449632
Denmark,15.6584666
Ecuador,263.1852411
Ethiopia,3115.582365
Fiji,53.78696682
Finland,9.434713152
France,572.2490093
Germany,1494.646739
Ghana,1083.882774
Guatemala,1835.754356
Iceland,10.50057108
India,27096.32207
Indonesia,6699.276917
Italy,102.7664278
Japan,1247.939389
Kenya,822.6836668
Laos,1507.973161
Lithuania,0.917782952
Malawi,2587.990438
Malaysia,6114.791736
Malta,1.173878718
Mexico,4884.73598
Mozambique,2689.431461
Myanmar,2019.692806
Netherlands,119.2077011
New Zealand,4174.766297
Nicaragua,405.7969376
Nigeria,2538.888304
Norway,2605.012968
Pakistan,66.22967016
Panama,216.5196608
Paraguay,1977.306267
Peru,5420.071353
Philippines,8505.006827
Portugal,3.100524517
Singapore,3035.074997
Spain,158.5164078
Suriname,1089.684502
Sweden,148.7870451
Tanzania,3346.890805
Thailand,12432.56359
Timor-Leste,992.2741967
Togo,0.163782646
Uganda,2782.980208
United Kingdom,707.0949326
United States,263442.9232
Uruguay,1698.990862
Venezuela,0.020945758
Vietnam,6262.272147
Zambia,1774.24194
Zimbabwe,1399.781642
