Country_name,pred_cost_mean
Argentina,8991.715671
Australia,26864.28868
Austria,498.407081
Belize,1072.803721
Benin,763.5479366
Bhutan,905.9854645
Bolivia,2117.101551
Brazil,6007.549161
Brunei,766.8839927
Cambodia,5017.249558
Cameroon,2187.485084
Canada,53739.27749
Chile,3034.464536
China,42954.32904
Colombia,342.3444519
Cuba,1778.116636
Democratic Republic of the Congo,2424.449632
Denmark,15.77494399
Ecuador,263.5800594
Ethiopia,3119.798127
Fiji,51.97425755
Finland,9.113316004
France,563.2645133
Germany,1422.566476
Ghana,1082.440553
Guatemala,1838.568336
Iceland,10.61000158
India,26304.31477
Indonesia,6308.862149
Italy,102.2425704
Japan,1214.456185
Kenya,835.3741425
Laos,1412.090097
Lithuania,0.891406701
Malawi,2581.054338
Malaysia,5755.369568
Malta,1.173878718
Mexico,4657.231623
Mozambique,2689.431461
Myanmar,1891.388609
Netherlands,116.1940175
New Zealand,4113.99036
Nicaragua,406.406889
Nigeria,2538.888304
Norway,2616.749558
Pakistan,66.5189684
Panama,216.8453767
Paraguay,1980.339415
Peru,5372.065284
Philippines,8413.512599
Portugal,3.014485046
Singapore,2958.463315
Spain,152.5720177
Suriname,1091.3677
Sweden,147.3960698
Tanzania,3334.670984
Thailand,12044.73796
Timor-Leste,968.9728343
Togo,0.160632885
Uganda,2782.980208
United Kingdom,702.1093184
United States,268849.3774
Uruguay,1701.584187
Venezuela,0.022985198
Vietnam,6072.868613
Zambia,1771.799827
Zimbabwe,1399.781642
