Class_code,Species,Type_of_cost_merged,pred_cost_mean,s_Class_code,s_Species,s_Damage,s_manage,s_mixed,s_unspecified,s_pred_cost_mean
Amphibian,Lithobates catesbeianus,Management,0.076415227,terrinv,Aedes aegypti,0,0,0,0,111196.1767
Amphibian,Rhinella marina,Management,46.47457644,terrinv,Anthonomus grandis,0,0,0,0,90230.13959
Amphibian,Xenopus laevis,Management,0.024215191,Mammal,Rattus rattus,0,0,0,0,67126.49713
Bird,Alopochen aegyptiaca,Damage,1.050887261,terrinv,Coptotermes formosanus,0,0,0,0,48556.98736
Bird,Branta canadensis,Damage,2.007137583,terrinv,Bursaphelenchus mucronatus,0,0,0,0,31659.97608
Bird,Branta canadensis,Management,3.252862366,terrinv,Spodoptera frugiperda,0,0,0,0,23736.99093
Bird,Cygnus olor,Damage,0.046654874,terrinv,Haematobia irritans,0,0,0,0,18571.56959
Bird,Cygnus olor,Management,0.861019261,terrinv,Rhipicephalus microplus,0,0,0,0,16211.98165
Bird,Myiopsitta monachus,Management,4.633108689,terrinv,Stomoxys calcitrans,0,0,0,0,12514.52117
Bird,Oxyura jamaicensis,Management,21.05054435,terrinv,Anoplophora glabripennis,0,0,0,0,12303.78776
Bird,Phasianus colchicus,Damage,6.598672364,terrinv,Lymantria dispar,0,0,0,0,10604.94841
Bird,Psittacula krameri,Damage,131.5165313,terrinv,Cochliomyia hominivorax,0,0,0,0,10595.48191
Bird,Psittacula krameri,Management,0.368955314,Freshwater,Dreissena polymorpha,0,0,0,0,10375.82227
Fish,Phoxinus phoxinus,Management,0.634830382,terrinv,Phenacoccus solenopsis,0,0,0,0,8557.669885
Fish,Pseudorasbora parva,Management,1.550554362,terrinv,Hypera postica,0,0,0,0,8475.200072
Fish,Tinca tinca,Management,0.212904409,Mammal,Sus scrofa,0,0,0,0,8045.111659
Freshwater,Corbicula fluminea,Damage,0.634027042,terrinv,Adelges piceae,0,0,0,0,8027.519385
Freshwater,Dreissena polymorpha,Management,12.70724334,Mammal,Felis catus,0,0,0,0,7844.722773
Freshwater,Dreissena polymorpha,Mixed,5323.704516,Mammal,Canis lupus,0,0,0,0,7799.780134
Freshwater,Dreissena polymorpha,Unspecified,5039.410512,terrinv,Cydia pomonella,0,0,0,0,5623.617727
Freshwater,Gyrodactylus salaris,Damage,1954.954828,Freshwater,Pomacea canaliculata,0,0,0,0,4376.427128
Freshwater,Limnoperna fortunei,Management,39.07520876,terrinv,Chilo partellus,0,0,0,0,3414.392207
Freshwater,Pacifastacus leniusculus,Damage,0.54770218,Mammal,Oryctolagus cuniculus,0,0,0,0,2503.656027
Freshwater,Pacifastacus leniusculus,Management,6.37503874,Freshwater,Gyrodactylus salaris,0,0,0,0,1954.954828
Freshwater,Pacifastacus leniusculus,Mixed,6.262986005,Freshwater,Petromyzon marinus,0,0,0,0,1752.14476
Freshwater,Petromyzon marinus,Damage,1661.524292,terrinv,Ceutorhynchus obstrictus,0,0,0,0,1415.974227
Freshwater,Petromyzon marinus,Management,90.62046775,terrinv,Agrilus planipennis,0,0,0,0,1359.700711
Freshwater,Pomacea canaliculata,Damage,4188.0302,terrinv,Bactrocera philippinensis,0,0,0,0,1303.140026
Freshwater,Pomacea canaliculata,Mixed,188.3969278,terrinv,Listronotus bonariensis,0,0,0,0,1266.527796
Freshwater,Procambarus clarkii,Damage,2.540747019,terrinv,Paracoccus marginatus,0,0,0,0,1262.447064
Freshwater,Procambarus clarkii,Management,5.807805477,terrinv,Solenopsis invicta,0,0,0,0,1047.419771
Mammal,Callosciurus erythraeus,Damage,3.228024816,terrinv,Aedes camptorhynchus,0,0,0,0,1011.464075
Mammal,Camelus dromedarius,Damage,31.41614146,terrinv,Halotydeus destructor,0,0,0,0,930.2879613
Mammal,Camelus dromedarius,Management,21.30540858,terrinv,Liriomyza sativae,0,0,0,0,899.6446505
Mammal,Canis lupus,Damage,2685.715457,terrinv,Teia anartoides,0,0,0,0,791.2649417
Mammal,Canis lupus,Management,5114.064677,Mammal,Ondatra zibethicus,0,0,0,0,759.3458431
Mammal,Capra hircus,Damage,161.7212106,terrinv,Anopheles darlingi,0,0,0,0,726.7888661
Mammal,Capra hircus,Management,42.58657902,terrinv,Nilaparvata lugens,0,0,0,0,642.0282519
Mammal,Castor canadensis,Damage,1.7694447,terrinv,Frankliniella occidentalis,0,0,0,0,529.9218258
Mammal,Equus caballus,Management,1.198668836,terrinv,Ceratitis capitata,0,0,0,0,466.3284668
Mammal,Felis catus,Damage,12.40834204,Mammal,Trichosurus vulpecula,0,0,0,0,437.5358251
Mammal,Felis catus,Management,1.234869221,Mammal,Vulpes vulpes,0,0,0,0,430.2019291
Mammal,Felis catus,Mixed,7831.079562,terrinv,Bactrocera tryoni,0,0,0,0,396.5028396
Mammal,Hemitragus jemlahicus,Management,2.356423123,terrinv,Cactoblastis cactorum,0,0,0,0,338.3033718
Mammal,Herpestes javanicus,Damage,1.612235502,terrinv,Sirex noctilio,0,0,0,0,220.3386946
Mammal,Muntiacus reevesi,Damage,1.231276696,Mammal,Neovison vison,0,0,0,0,211.7407419
