Class_code,Species,Type_of_cost_merged,pred_cost_mean,s_Class_code,s_Species,s_Damage,s_manage,s_mixed,s_unspecified,s_pred_cost_mean
Amphibian,Lithobates catesbeianus,Management,0.083774827,terrinv,Aedes aegypti,0,0,0,0,112540.5238
Amphibian,Rhinella marina,Management,48.22835112,terrinv,Anthonomus grandis,0,0,0,0,91370.50223
Amphibian,Xenopus laevis,Management,0.023067087,Mammal,Rattus rattus,0,0,0,0,63479.74181
Bird,Alopochen aegyptiaca,Damage,1.053334291,terrinv,Coptotermes formosanus,0,0,0,0,48120.3993
Bird,Branta canadensis,Damage,1.955799815,terrinv,Bursaphelenchus mucronatus,0,0,0,0,33549.46308
Bird,Branta canadensis,Management,3.169673144,terrinv,Spodoptera frugiperda,0,0,0,0,24031.05297
Bird,Cygnus olor,Damage,0.047000681,terrinv,Haematobia irritans,0,0,0,0,18783.94559
Bird,Cygnus olor,Management,0.867400491,terrinv,Rhipicephalus microplus,0,0,0,0,16099.63889
Bird,Myiopsitta monachus,Management,4.697837337,terrinv,Stomoxys calcitrans,0,0,0,0,12914.01224
Bird,Oxyura jamaicensis,Management,21.04037478,terrinv,Anoplophora glabripennis,0,0,0,0,12968.60551
Bird,Phasianus colchicus,Damage,6.628217588,terrinv,Lymantria dispar,0,0,0,0,10719.03471
Bird,Psittacula krameri,Damage,132.0884639,terrinv,Cochliomyia hominivorax,0,0,0,0,10523.06681
Bird,Psittacula krameri,Management,0.369746639,Freshwater,Dreissena polymorpha,0,0,0,0,10485.91402
Fish,Phoxinus phoxinus,Management,0.661082699,terrinv,Phenacoccus solenopsis,0,0,0,0,8611.222335
Fish,Pseudorasbora parva,Management,1.61174511,terrinv,Hypera postica,0,0,0,0,8376.889946
Fish,Tinca tinca,Management,0.221310235,terrinv,Adelges piceae,0,0,0,0,8170.213487
Freshwater,Corbicula fluminea,Damage,0.640522602,Mammal,Sus scrofa,0,0,0,0,8090.501585
Freshwater,Dreissena polymorpha,Management,12.68529028,Mammal,Felis catus,0,0,0,0,8080.088376
Freshwater,Dreissena polymorpha,Mixed,5380.271571,Mammal,Canis lupus,0,0,0,0,7727.780645
Freshwater,Dreissena polymorpha,Unspecified,5092.957157,terrinv,Cydia pomonella,0,0,0,0,5562.372684
Freshwater,Gyrodactylus salaris,Damage,2090.648102,Freshwater,Pomacea canaliculata,0,0,0,0,4406.897522
Freshwater,Limnoperna fortunei,Management,39.35862183,terrinv,Chilo partellus,0,0,0,0,3481.184483
Freshwater,Pacifastacus leniusculus,Damage,0.552538554,Mammal,Oryctolagus cuniculus,0,0,0,0,2519.43443
Freshwater,Pacifastacus leniusculus,Management,6.356550104,Freshwater,Gyrodactylus salaris,0,0,0,0,2090.648102
Freshwater,Pacifastacus leniusculus,Mixed,6.318291848,Freshwater,Petromyzon marinus,0,0,0,0,1740.526955
Freshwater,Petromyzon marinus,Damage,1649.675431,terrinv,Ceutorhynchus obstrictus,0,0,0,0,1429.395839
Freshwater,Petromyzon marinus,Management,90.85152392,terrinv,Agrilus planipennis,0,0,0,0,1378.57424
Freshwater,Pomacea canaliculata,Damage,4217.188901,terrinv,Bactrocera philippinensis,0,0,0,0,1314.049643
Freshwater,Pomacea canaliculata,Mixed,189.7086207,terrinv,Paracoccus marginatus,0,0,0,0,1255.307302
Freshwater,Procambarus clarkii,Damage,2.379873689,terrinv,Listronotus bonariensis,0,0,0,0,1236.378975
Freshwater,Procambarus clarkii,Management,5.86084864,terrinv,Solenopsis invicta,0,0,0,0,1073.320842
Mammal,Callosciurus erythraeus,Damage,3.255937056,terrinv,Aedes camptorhynchus,0,0,0,0,1030.795928
Mammal,Camelus dromedarius,Damage,32.03908312,terrinv,Liriomyza sativae,0,0,0,0,1026.222657
Mammal,Camelus dromedarius,Management,21.7278509,terrinv,Halotydeus destructor,0,0,0,0,936.1762524
Mammal,Canis lupus,Damage,2679.781581,Mammal,Ondatra zibethicus,0,0,0,0,763.057229
Mammal,Canis lupus,Management,5047.999064,terrinv,Teia anartoides,0,0,0,0,743.1053929
Mammal,Capra hircus,Damage,165.6747066,terrinv,Anopheles darlingi,0,0,0,0,712.3828247
Mammal,Capra hircus,Management,43.45632646,terrinv,Nilaparvata lugens,0,0,0,0,650.3616723
Mammal,Castor canadensis,Damage,1.758785172,terrinv,Frankliniella occidentalis,0,0,0,0,477.1606517
Mammal,Equus caballus,Management,1.194734488,terrinv,Ceratitis capitata,0,0,0,0,464.3934407
Mammal,Felis catus,Damage,12.78070128,Mammal,Trichosurus vulpecula,0,0,0,0,440.7192206
Mammal,Felis catus,Management,1.264488611,Mammal,Vulpes vulpes,0,0,0,0,432.0151944
Mammal,Felis catus,Mixed,8066.043186,terrinv,Bactrocera tryoni,0,0,0,0,372.5510828
Mammal,Hemitragus jemlahicus,Management,2.277637877,terrinv,Cactoblastis cactorum,0,0,0,0,345.1318953
Mammal,Herpestes javanicus,Damage,1.65003111,terrinv,Sirex noctilio,0,0,0,0,226.4879877
Mammal,Muntiacus reevesi,Damage,1.274412282,Mammal,Neovison vison,0,0,0,0,214.7015454
Mammal,Mus musculus,Damage,42.81348167,Mammal,Capra hircus,0,0,0,0,209.131033
Mammal,Mustela erminea,Management,6.139890014,terrinv,Phthorimaea operculella,0,0,0,0,166.7621201
Mammal,Myocastor coypus,Damage,81.08970276,terrinv,Scirtothrips perseae,0,0,0,0,153.2894918
Mammal,Myocastor coypus,Management,6.722235188,terrinv,Drosophila suzukii,0,0,0,0,144.0083583
Mammal,Neovison vison,Damage,25.00714968,terrinv,Arion lusitanicus,0,0,0,0,136.4703719
Mammal,Neovison vison,Management,189.6943957,Bird,Psittacula krameri,0,0,0,0,132.4582106
Mammal,Nyctereutes procyonoides,Management,4.734782444,terrinv,Pectinophora gossypiella,0,0,0,0,129.54093
Mammal,Ondatra zibethicus,Damage,643.1994139,Mammal,Paguma larvata,0,0,0,0,129.3013032
Mammal,Ondatra zibethicus,Management,119.8578151,terrinv,Anastrepha fraterculus,0,0,0,0,125.6490282
Mammal,Oryctolagus cuniculus,Damage,2462.509657,Mammal,Procyon lotor,0,0,0,0,107.730248
Mammal,Oryctolagus cuniculus,Management,56.92477347,Mammal,Rattus norvegicus,0,0,0,0,94.2885829
Mammal,Paguma larvata,Damage,129.3013032,Mammal,Myocastor coypus,0,0,0,0,87.81193795
Mammal,Phascolarctos cinereus,Management,0.574478558,terrinv,Leptinotarsa decemlineata,0,0,0,0,71.79189139
Mammal,Procyon lotor,Damage,107.552364,terrinv,Cameraria ohridella,0,0,0,0,65.89612432
Mammal,Procyon lotor,Management,0.177884056,terrinv,Anoplophora chinensis,0,0,0,0,56.62232146
Mammal,Rattus exulans,Management,2.449452842,Mammal,Camelus dromedarius,0,0,0,0,53.76693402
Mammal,Rattus norvegicus,Management,81.89649251,terrinv,Coptotermes gestroi,0,0,0,0,52.1477818
Mammal,Rattus norvegicus,Mixed,12.39209039,Amphibian,Rhinella marina,0,0,0,0,48.22835112
Mammal,Rattus rattus,Damage,63479.74181,terrinv,Liriomyza huidobrensis,0,0,0,0,46.06180104
Mammal,Sciurus carolinensis,Damage,30.99995412,Mammal,Sciurus carolinensis,0,0,0,0,46.01262596
Mammal,Sciurus carolinensis,Management,15.01267184,Mammal,Mus musculus,0,0,0,0,42.81348167
Mammal,Sus scrofa,Damage,8069.002871,terrinv,Hypothenemus hampei,0,0,0,0,39.5517427
Mammal,Sus scrofa,Management,21.49871373,Freshwater,Limnoperna fortunei,0,0,0,0,39.35862183
Mammal,Trichosurus vulpecula,Management,440.7192206,terrinv,Vespula germanica,0,0,0,0,36.61258503
Mammal,Vulpes vulpes,Damage,391.7058732,terrinv,Bruchus pisorum,0,0,0,0,34.52525404
Mammal,Vulpes vulpes,Management,40.30932116,terrinv,Elatobium abietinum,0,0,0,0,26.65627444
Reptilia,Anolis carolinensis,Management,0.223560264,terrinv,Lissachatina fulica,0,0,0,0,24.36828773
Reptilia,Boiga irregularis,Management,3.360237164,terrinv,Hyphantria cunea,0,0,0,0,21.99643207
Reptilia,Chelydra serpentina,Management,0.087143312,Bird,Oxyura jamaicensis,0,0,0,0,21.04037478
