Class_code,Species,Type_of_cost_merged,pred_cost_mean,s_Class_code,s_Species,s_Damage,s_manage,s_mixed,s_unspecified,s_pred_cost_mean
Mammal,Phascolarctos cinereus,Management,0.526690204,terrinv,Vespula germanica,0,0,0,0,77.71015425
Mammal,Procyon lotor,Damage,101.3082546,terrinv,Cameraria ohridella,0,0,0,0,62.43424869
Mammal,Procyon lotor,Management,0.16736888,terrinv,Leptinotarsa decemlineata,0,0,0,0,53.49570945
Mammal,Rattus exulans,Management,2.509903577,Mammal,Camelus dromedarius,0,0,0,0,50.51048729
Mammal,Rattus norvegicus,Management,74.76592761,terrinv,Anoplophora chinensis,0,0,0,0,50.21859013
Mammal,Rattus norvegicus,Mixed,11.31813006,terrinv,Coptotermes gestroi,0,0,0,0,47.68851316
Mammal,Rattus rattus,Damage,72780.90667,Amphibian,Rhinella marina,0,0,0,0,47.19998184
Mammal,Sciurus carolinensis,Damage,28.3039512,Mammal,Sciurus carolinensis,0,0,0,0,42.03841123
Mammal,Sciurus carolinensis,Management,13.73446003,Mammal,Mus musculus,0,0,0,0,39.21868689
Mammal,Sus scrofa,Damage,7067.415667,Freshwater,Limnoperna fortunei,0,0,0,0,36.75963572
Mammal,Sus scrofa,Management,20.57981108,terrinv,Lissachatina fulica,0,0,0,0,30.8727442
Mammal,Trichosurus vulpecula,Management,402.0545986,terrinv,Liriomyza huidobrensis,0,0,0,0,30.41703324
Mammal,Vulpes vulpes,Damage,328.1744262,terrinv,Bruchus pisorum,0,0,0,0,29.14293715
Mammal,Vulpes vulpes,Management,33.28270843,terrinv,Hypothenemus hampei,0,0,0,0,24.610636
Reptilia,Anolis carolinensis,Management,0.24644196,terrinv,Elatobium abietinum,0,0,0,0,22.94376275
Reptilia,Boiga irregularis,Management,2.931982385,terrinv,Ephestia kuehniella,0,0,0,0,20.76368811
Reptilia,Chelydra serpentina,Management,0.081777994,terrinv,Hyphantria cunea,0,0,0,0,20.42722447
Reptilia,Trachemys scripta,Management,1.376323746,Bird,Oxyura jamaicensis,0,0,0,0,19.39731428
terrinv,Adelges piceae,Damage,7099.312765,terrinv,Adelges tsugae,0,0,0,0,16.4369052
terrinv,Adelges tsugae,Management,16.4369052,Freshwater,Pacifastacus leniusculus,0,0,0,0,11.62583884
terrinv,Aedes aegypti,Damage,86145.7685,terrinv,Rhynchophorus ferrugineus,0,0,0,0,10.68207125
