Class_code,Species,Type_of_cost_merged,pred_cost_mean
terrinv,Adelges piceae,Damage,8170.213487
terrinv,Adelges tsugae,Management,13.96363562
terrinv,Aedes aegypti,Management,255.3301566
terrinv,Aedes aegypti,Management,290.1718513
terrinv,Aedes aegypti,Management,351.1123326
terrinv,Aedes aegypti,Management,351.1123326
terrinv,Aedes aegypti,Management,324.2331858
terrinv,Aedes aegypti,Management,351.1123326
terrinv,Aedes aegypti,Management,153.9521228
terrinv,Aedes aegypti,Management,309.1604294
terrinv,Aedes aegypti,Management,377.3876109
terrinv,Aedes aegypti,Management,249.8709547
terrinv,Aedes aegypti,Management,262.8107271
terrinv,Aedes aegypti,Management,263.3590939
terrinv,Aedes aegypti,Management,405.3425516
terrinv,Aedes aegypti,Management,216.1337366
terrinv,Aedes aegypti,Management,288.2507798
terrinv,Aedes aegypti,Management,328.6451204
terrinv,Aedes aegypti,Management,246.8064892
terrinv,Aedes aegypti,Management,483.7825432
terrinv,Aedes aegypti,Management,654.9501061
terrinv,Aedes aegypti,Management,654.9501061
terrinv,Aedes aegypti,Management,341.4632758
terrinv,Aedes aegypti,Management,625.4040838
terrinv,Aedes aegypti,Management,290.1718513
terrinv,Aedes aegypti,Management,323.4381786
terrinv,Aedes aegypti,Management,351.1123326
terrinv,Aedes aegypti,Management,483.7825432
terrinv,Aedes aegypti,Management,255.3301566
terrinv,Aedes aegypti,Management,482.3762984
terrinv,Aedes aegypti,Management,328.6451204
terrinv,Aedes aegypti,Management,155.4522817
terrinv,Aedes aegypti,Management,483.7825432
terrinv,Aedes aegypti,Management,483.7825432
terrinv,Aedes aegypti,Management,351.1123326
terrinv,Aedes aegypti,Management,351.1123326
terrinv,Aedes aegypti,Damage,910.2710639
terrinv,Aedes aegypti,Damage,770.3351276
terrinv,Aedes aegypti,Damage,1488.582298
terrinv,Aedes aegypti,Damage,3308.303848
terrinv,Aedes aegypti,Damage,3308.303848
terrinv,Aedes aegypti,Damage,3308.303848
terrinv,Aedes aegypti,Damage,3308.303848
terrinv,Aedes aegypti,Damage,2813.748872
terrinv,Aedes aegypti,Damage,2813.748872
terrinv,Aedes aegypti,Damage,1399.077514
terrinv,Aedes aegypti,Damage,1699.241331
terrinv,Aedes aegypti,Damage,1699.241331
terrinv,Aedes aegypti,Damage,1874.465858
terrinv,Aedes aegypti,Damage,1894.773507
terrinv,Aedes aegypti,Damage,1894.773507
terrinv,Aedes aegypti,Damage,958.1216078
terrinv,Aedes aegypti,Damage,958.1216078
terrinv,Aedes aegypti,Damage,958.1216078
terrinv,Aedes aegypti,Damage,2034.007503
