Class_code,Species,Type_of_cost_merged,pred_cost_mean
terrinv,Adelges piceae,Damage,8027.519385
terrinv,Adelges tsugae,Management,13.24957655
terrinv,Aedes aegypti,Management,253.2126958
terrinv,Aedes aegypti,Management,287.5668586
terrinv,Aedes aegypti,Management,349.4323197
terrinv,Aedes aegypti,Management,349.4323197
terrinv,Aedes aegypti,Management,321.6068135
terrinv,Aedes aegypti,Management,349.4323197
terrinv,Aedes aegypti,Management,154.0400958
terrinv,Aedes aegypti,Management,308.9160182
terrinv,Aedes aegypti,Management,370.1289124
terrinv,Aedes aegypti,Management,246.8365218
terrinv,Aedes aegypti,Management,262.0937928
terrinv,Aedes aegypti,Management,262.3929934
terrinv,Aedes aegypti,Management,403.622818
terrinv,Aedes aegypti,Management,217.734777
terrinv,Aedes aegypti,Management,286.3946852
terrinv,Aedes aegypti,Management,324.8461361
terrinv,Aedes aegypti,Management,240.5721491
terrinv,Aedes aegypti,Management,473.8805407
terrinv,Aedes aegypti,Management,644.7836538
terrinv,Aedes aegypti,Management,644.7836538
terrinv,Aedes aegypti,Management,339.9352989
terrinv,Aedes aegypti,Management,619.4523868
terrinv,Aedes aegypti,Management,287.5668586
terrinv,Aedes aegypti,Management,321.4238371
terrinv,Aedes aegypti,Management,349.4323197
terrinv,Aedes aegypti,Management,473.8805407
terrinv,Aedes aegypti,Management,253.2126958
terrinv,Aedes aegypti,Management,470.5241877
terrinv,Aedes aegypti,Management,324.8461361
terrinv,Aedes aegypti,Management,155.727763
terrinv,Aedes aegypti,Management,473.8805407
terrinv,Aedes aegypti,Management,473.8805407
terrinv,Aedes aegypti,Management,349.4323197
terrinv,Aedes aegypti,Management,349.4323197
terrinv,Aedes aegypti,Damage,901.2439558
terrinv,Aedes aegypti,Damage,743.0730289
terrinv,Aedes aegypti,Damage,1473.973009
terrinv,Aedes aegypti,Damage,3267.461275
terrinv,Aedes aegypti,Damage,3267.461275
terrinv,Aedes aegypti,Damage,3267.461275
terrinv,Aedes aegypti,Damage,3267.461275
terrinv,Aedes aegypti,Damage,2743.208874
terrinv,Aedes aegypti,Damage,2743.208874
terrinv,Aedes aegypti,Damage,1392.055802
terrinv,Aedes aegypti,Damage,1684.341272
terrinv,Aedes aegypti,Damage,1684.341272
terrinv,Aedes aegypti,Damage,1834.06761
terrinv,Aedes aegypti,Damage,1880.897816
terrinv,Aedes aegypti,Damage,1880.897816
terrinv,Aedes aegypti,Damage,960.186437
terrinv,Aedes aegypti,Damage,960.186437
terrinv,Aedes aegypti,Damage,960.186437
terrinv,Aedes aegypti,Damage,2022.554323
terrinv,Aedes aegypti,Damage,2022.554323
terrinv,Aedes aegypti,Damage,2022.554323
terrinv,Aedes aegypti,Damage,2022.554323
terrinv,Aedes aegypti,Damage,978.0580387
terrinv,Aedes aegypti,Damage,1872.907978
terrinv,Aedes aegypti,Damage,1872.907978
terrinv,Aedes aegypti,Damage,890.6391099
terrinv,Aedes aegypti,Damage,1752.835968
terrinv,Aedes aegypti,Damage,693.5245426
terrinv,Aedes aegypti,Damage,2150.214455
terrinv,Aedes aegypti,Damage,1522.029936
terrinv,Aedes aegypti,Damage,1630.15855
terrinv,Aedes aegypti,Damage,1861.025856
terrinv,Aedes aegypti,Damage,1861.025856
terrinv,Aedes aegypti,Damage,2718.841013
terrinv,Aedes aegypti,Damage,2718.841013
terrinv,Aedes aegypti,Damage,1060.19481
terrinv,Aedes aegypti,Damage,1374.890764
terrinv,Aedes aegypti,Damage,3267.461275
terrinv,Aedes aegypti,Damage,2718.841013
terrinv,Aedes aegypti,Damage,1684.341272
terrinv,Aedes aegypti,Damage,3543.532985
terrinv,Aedes aegypti,Damage,3670.433915
terrinv,Aedes aegypti,Damage,2490.167363
terrinv,Aedes aegypti,Damage,2022.554323
